dataset,category,stratum,feature,fit_images,check_images,median,q01,q99,fraction_outside_source_scaler_3sd,fraction_outside_source_scaler_5sd
VisA,candle,uniform,center_surround,8,8,-0.0019968757405877113,-0.4752904176712036,0.5214431285858154,0.0,0.0
VisA,candle,uniform,surround,8,8,-2.9026739597320557,-3.4340391159057617,-1.6293845176696777,0.0,0.0
VisA,candle,uniform,response_std,8,8,0.29205548763275146,0.15951204299926758,0.853373646736145,0.0,0.0
VisA,candle,uniform,intensity_mean,8,8,0.24148344993591309,0.0928938165307045,0.8680381774902344,0.0,0.0
VisA,candle,uniform,intensity_std,8,8,0.11618927121162415,0.005887320730835199,0.370584636926651,0.0,0.0
VisA,candle,uniform,image_gradient,8,8,0.04174850881099701,0.009085728786885738,0.544935941696167,0.0,0.0
VisA,capsules,high_response,response,8,8,-1.1185483932495117,-2.1459648609161377,2.268789291381836,0.0,0.0
VisA,capsules,high_response,center_surround,8,8,1.323127269744873,0.8735325336456299,2.4054341316223145,0.0,0.0
VisA,capsules,high_response,surround,8,8,-2.829620599746704,-3.8030807971954346,-0.19071289896965027,0.0,0.0
VisA,capsules,high_response,response_std,8,8,1.0387836694717407,0.6592068672180176,1.5739015340805054,0.0,0.0
VisA,capsules,high_response,intensity_mean,8,8,0.39071863889694214,0.3230755031108856,0.5509567260742188,0.0,0.0
VisA,capsules,high_response,intensity_std,8,8,0.13218694925308228,0.06631062179803848,0.16504888236522675,0.0,0.0
VisA,capsules,high_response,image_gradient,8,8,0.2607571482658386,0.15174584090709686,0.8708783388137817,0.005859375,0.0
VisA,capsules,uniform,response,8,8,-4.627614974975586,-7.841621398925781,-1.9778276681900024,0.0,0.0
VisA,capsules,uniform,center_surround,8,8,0.006329520605504513,-1.1726716756820679,1.003197193145752,0.0,0.0
VisA,capsules,uniform,surround,8,8,-4.59771728515625,-6.793351650238037,-2.72505259513855,0.0,0.0
VisA,capsules,uniform,response_std,8,8,0.6467224359512329,0.36786964535713196,1.4645769596099854,0.0,0.0
VisA,capsules,uniform,intensity_mean,8,8,0.48509010672569275,0.2995692789554596,0.7182914614677429,0.0,0.0
VisA,capsules,uniform,intensity_std,8,8,0.09485405683517456,0.021896852180361748,0.17961108684539795,0.0,0.0
VisA,capsules,uniform,image_gradient,8,8,0.1825171411037445,0.08915042877197266,0.7176223993301392,0.000732421875,0.0
VisA,cashew,high_response,response,8,8,-0.44697293639183044,-1.5671405792236328,1.2618039846420288,0.0,0.0
VisA,cashew,high_response,center_surround,8,8,1.2239278554916382,0.7693018913269043,2.1128311157226562,0.0,0.0
VisA,cashew,high_response,surround,8,8,-1.8924269676208496,-2.9766147136688232,-0.8113013505935669,0.0,0.0
VisA,cashew,high_response,response_std,8,8,0.9938222169876099,0.643399715423584,1.6776841878890991,0.0,0.0
VisA,cashew,high_response,intensity_mean,8,8,0.6394760608673096,0.09980817884206772,0.7887410521507263,0.0,0.0
VisA,cashew,high_response,intensity_std,8,8,0.1035856306552887,0.03850168734788895,0.23771946132183075,0.0,0.0
VisA,cashew,high_response,image_gradient,8,8,0.1379346251487732,0.06162773072719574,0.5212413668632507,0.0,0.0
VisA,cashew,uniform,response,8,8,-3.8262925148010254,-7.094311237335205,-1.1457041501998901,0.0,0.0
VisA,cashew,uniform,center_surround,8,8,0.043268658220767975,-1.459586501121521,1.0236605405807495,0.0001220703125,0.0
VisA,cashew,uniform,surround,8,8,-3.904475688934326,-5.6891865730285645,-1.6833844184875488,0.0,0.0
VisA,cashew,uniform,response_std,8,8,0.7137202620506287,0.35681888461112976,1.4505436420440674,0.0,0.0
VisA,cashew,uniform,intensity_mean,8,8,0.14755816757678986,0.0650457814335823,0.8161322474479675,0.0,0.0
