category,image_id,method,best_window_coverage,union_coverage,recalled50,recalled90
fryum,42f250bd04d6cb63ef16c4d1,mixed8,1.0,1.0,1.0,1.0
fryum,42f250bd04d6cb63ef16c4d1,top8,1.0,1.0,1.0,1.0
fryum,44b07ba50ec832f94c291ff2,grid8,0.23368298368298365,0.23368298368298365,0.2727272727272727,0.18181818181818182
fryum,44b07ba50ec832f94c291ff2,mixed8,0.7791375291375292,0.7791375291375292,0.8181818181818182,0.7272727272727273
fryum,44b07ba50ec832f94c291ff2,top8,1.0,1.0,1.0,1.0
fryum,46c4a50ff056ee2902a26b38,grid8,0.0,0.0,0.0,0.0
fryum,46c4a50ff056ee2902a26b38,mixed8,0.0,0.0,0.0,0.0
fryum,46c4a50ff056ee2902a26b38,top8,1.0,1.0,1.0,1.0
fryum,4fcabf5d56be189db9f6ef7d,grid8,0.0,0.0,0.0,0.0
fryum,4fcabf5d56be189db9f6ef7d,mixed8,0.8400000000000001,0.8400000000000001,0.8,0.8
fryum,4fcabf5d56be189db9f6ef7d,top8,0.8400000000000001,0.8400000000000001,0.8,0.8
fryum,5b2fab7a0e399dec855935ef,grid8,0.2596616186581584,0.2596616186581584,0.2647058823529412,0.23529411764705882
fryum,5b2fab7a0e399dec855935ef,mixed8,0.8897058823529411,0.8897058823529411,0.8823529411764706,0.8823529411764706
fryum,5b2fab7a0e399dec855935ef,top8,0.8897058823529411,0.8897058823529411,0.8823529411764706,0.8823529411764706
fryum,5d5db8e43375cbdd66727f4c,grid8,0.1267123287671233,0.1267123287671233,0.0,0.0
fryum,5d5db8e43375cbdd66727f4c,mixed8,1.0,1.0,1.0,1.0
fryum,5d5db8e43375cbdd66727f4c,top8,1.0,1.0,1.0,1.0
fryum,66794ed65d542169dff2c7dd,grid8,0.0,0.0,0.0,0.0
fryum,66794ed65d542169dff2c7dd,mixed8,1.0,1.0,1.0,1.0
fryum,66794ed65d542169dff2c7dd,top8,1.0,1.0,1.0,1.0
fryum,68972805f6af0e593581611e,grid8,0.5,0.5,0.5,0.5
fryum,68972805f6af0e593581611e,mixed8,0.5,0.5,0.5,0.5
fryum,68972805f6af0e593581611e,top8,0.5,0.5,0.5,0.5
fryum,6a83f42612ccc8d8c1801a32,grid8,0.28684278684278686,0.28684278684278686,0.3076923076923077,0.23076923076923078
fryum,6a83f42612ccc8d8c1801a32,mixed8,0.28684278684278686,0.28684278684278686,0.3076923076923077,0.23076923076923078
fryum,6a83f42612ccc8d8c1801a32,top8,1.0,1.0,1.0,1.0
fryum,707a80fdfed85fafe655c101,grid8,0.0,0.0,0.0,0.0
fryum,707a80fdfed85fafe655c101,mixed8,1.0,1.0,1.0,1.0
fryum,707a80fdfed85fafe655c101,top8,1.0,1.0,1.0,1.0
fryum,70a994ee33a5a5f98d1a906c,grid8,0.8093525179856115,0.8093525179856115,1.0,0.0
fryum,70a994ee33a5a5f98d1a906c,mixed8,1.0,1.0,1.0,1.0
fryum,70a994ee33a5a5f98d1a906c,top8,1.0,1.0,1.0,1.0
fryum,731d88a997a147686f6da045,grid8,0.5,0.5,0.5,0.5
fryum,731d88a997a147686f6da045,mixed8,0.5,0.5,0.5,0.5
fryum,731d88a997a147686f6da045,top8,0.5,0.5,0.5,0.5
fryum,75b27c6c6e52d134a67b971e,grid8,0.9344262295081968,0.9344262295081968,0.9344262295081968,0.9344262295081968
fryum,75b27c6c6e52d134a67b971e,mixed8,0.8961065573770493,0.8961065573770493,0.9016393442622951,0.8852459016393442
fryum,75b27c6c6e52d134a67b971e,top8,0.9861732074846828,0.9861732074846828,1.0,0.9672131147540983
fryum,75cd49382fc73712226d88a5,grid8,0.0,0.0,0.0,0.0
fryum,75cd49382fc73712226d88a5,mixed8,1.0,1.0,1.0,1.0
fryum,75cd49382fc73712226d88a5,top8,1.0,1.0,1.0,1.0
fryum,76ae63a58d116bcef0b90bb7,grid8,1.0,1.0,1.0,1.0
fryum,76ae63a58d116bcef0b90bb7,mixed8,1.0,1.0,1.0,1.0
