backbone,strategy,eval_mode,debiased_method,num_images,num_normal,num_anomaly,candidate_coverage,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm,delta_accuracy_vs_vlm
PatchCore,generic_binary,crop_topk_ensemble,candidate_quality_original,2162,962,1200,0.5550416281221091,0.995,0.9976415131558318,0.9949748743718593,0.9944495837187789,0.0011839024513291,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.09905362092862091,0.06587371185142743,0.16314550603715872,0.18408880666049954
PatchCore,generic_binary,crop_topk_ensemble,qcr_u_original_detector_aware,2162,962,1200,0.5550416281221091,0.9707501732501732,0.9809387621353244,0.9300911854103343,0.925531914893617,0.37824569522594476,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.07480379417879413,0.049170960830919985,0.09826181707563375,0.11517113783533761
PatchCore,generic_binary,crop_topk_ensemble,qcr_u_original_fixed,2162,962,1200,0.5550416281221091,0.9492558905058905,0.9684044829909463,0.9023972602739726,0.8945420906567992,0.37993478437503564,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.05330951143451146,0.03663668168654188,0.07056789193927204,0.08418131359851988
PatchCore,generic_binary,crop_topk_ensemble,qcr_u_no_q_detector_aware,2162,962,1200,0.5550416281221091,0.9454703742203742,0.9638311044065646,0.8971229293809939,0.8908418131359852,0.43695412972918185,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.04952399514899508,0.03206330310216021,0.06529356104629336,0.08048103607770585
PatchCore,generic_binary,crop_topk_ensemble,qcr_u_no_q_fixed,2162,962,1200,0.5550416281221091,0.9150952875952876,0.9466174343163073,0.8574007220216606,0.8538390379278445,0.4662663083751454,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.019148908523908492,0.014849633011902896,0.025571353686960063,0.04347826086956519
PatchCore,generic_binary,crop_topk_ensemble,detector_only,2162,962,1200,0.5550416281221091,0.9131098406098406,0.9259251283102992,0.8605769230769231,0.8390379278445883,0.2342765639717073,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.01716346153846149,-0.005842672994105236,0.02874755474222257,0.028677150786308947
PatchCore,generic_binary,crop_topk_ensemble,qcr_u_neutral_q_detector_aware,2162,962,1200,0.5550416281221091,0.9112751212751212,0.9410933532216302,0.8472990216928966,0.833950046253469,0.4250565665850188,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.01532874220374214,0.009325551917225838,0.015469653358196056,0.023589269195189666
PatchCore,generic_binary,crop_topk_ensemble,vlm_only,2162,962,1200,0.5550416281221091,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.4491600233201369,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,0.0,0.0,0.0,0.0
PatchCore,generic_binary,crop_topk_ensemble,qcr_u_neutral_q_fixed,2162,962,1200,0.5550416281221091,0.8815791753291753,0.9235119214860076,0.8180610889774237,0.8098982423681776,0.4607182865484158,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,-0.014367203742203793,-0.008255879818396816,-0.01376827935727687,-0.00046253469010171244
PatchCore,generic_binary,crop_topk_ensemble,candidate_quality_neutral,2162,962,1200,0.5550416281221091,0.2683333333333333,0.582415516260038,0.7138607971445569,0.5550416281221091,0.0,0.8959463790713791,0.9317678013044044,0.8318293683347006,0.8103607770582794,-0.6276130457380458,-0.34935228504436644,-0.1179685711901437,-0.25531914893617025
