q_source,q_direction,q_name,category,num_images,auroc_detector_D,auroc_crop_M,auroc_quality_Q_alone,auroc_V3_naive,auroc_V4_quality,auroc_V5_fixed_qc,auroc_V6_adaptive,delta_V4_minus_V3,delta_V6_minus_V4,delta_V6_minus_V3
tight_topk_mean_score,inverted,tight_topk_mean_score__inverted,vial,71,0.8731656184486374,0.5230607966457024,0.6027253668763104,0.9182389937106918,0.9182389937106918,0.9255765199161426,0.9182389937106918,0.0,0.0,0.0
tight_topk_mean_score,inverted,tight_topk_mean_score__inverted,walnuts,75,0.8051851851851852,0.6429629629629628,0.3933333333333333,0.777037037037037,0.7888888888888889,0.7703703703703704,0.7888888888888889,0.011851851851851891,0.0,0.011851851851851891
context_top1_score,direct,context_top1_score__direct,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.8366666666666667,0.8766666666666668,0.8699999999999999,0.88,0.8699999999999999,-0.006666666666666932,0.0,-0.006666666666666932
context_top1_score,direct,context_top1_score__direct,sheet_metal,57,0.7462962962962963,0.587037037037037,0.24444444444444444,0.7425925925925927,0.6592592592592592,0.7,0.6574074074074074,-0.08333333333333348,-0.0018518518518517713,-0.08518518518518525
context_top1_score,direct,context_top1_score__direct,vial,71,0.8731656184486374,0.5230607966457024,0.6834381551362684,0.9182389937106918,0.929769392033543,0.9224318658280922,0.9308176100628931,0.011530398322851187,0.0010482180293500676,0.012578616352201255
context_top1_score,direct,context_top1_score__direct,walnuts,75,0.8051851851851852,0.6429629629629628,0.5192592592592593,0.777037037037037,0.762962962962963,0.7511111111111111,0.762962962962963,-0.014074074074074017,0.0,-0.014074074074074017
context_top1_score,inverted,context_top1_score__inverted,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.16333333333333333,0.8766666666666668,0.8466666666666667,0.8666666666666666,0.8466666666666667,-0.030000000000000138,0.0,-0.030000000000000138
context_top1_score,inverted,context_top1_score__inverted,sheet_metal,57,0.7462962962962963,0.587037037037037,0.7555555555555555,0.7425925925925927,0.8148148148148148,0.7870370370370371,0.812962962962963,0.07222222222222208,-0.0018518518518517713,0.0703703703703703
context_top1_score,inverted,context_top1_score__inverted,vial,71,0.8731656184486374,0.5230607966457024,0.3165618448637316,0.9182389937106918,0.9077568134171907,0.9056603773584906,0.9077568134171907,-0.01048218029350112,0.0,-0.01048218029350112
context_top1_score,inverted,context_top1_score__inverted,walnuts,75,0.8051851851851852,0.6429629629629628,0.4807407407407407,0.777037037037037,0.8192592592592592,0.8140740740740741,0.8192592592592592,0.04222222222222227,0.0,0.04222222222222227
context_topk_max_score,direct,context_topk_max_score__direct,fruit_jelly,40,0.7166666666666667,0.8566666666666668,0.7666666666666667,0.8766666666666668,0.8700000000000001,0.8766666666666666,0.8700000000000001,-0.00666666666666671,0.0,-0.00666666666666671
context_topk_max_score,direct,context_topk_max_score__direct,sheet_metal,57,0.7462962962962963,0.587037037037037,0.6574074074074074,0.7425925925925927,0.7703703703703704,0.7462962962962962,0.7685185185185185,0.02777777777777768,-0.0018518518518518823,0.025925925925925797
context_topk_max_score,direct,context_topk_max_score__direct,vial,71,0.8731656184486374,0.5230607966457024,0.4559748427672956,0.9182389937106918,0.9234800838574423,0.8941299790356394,0.9234800838574423,0.005241090146750449,0.0,0.005241090146750449
context_topk_max_score,direct,context_topk_max_score__direct,walnuts,75,0.8051851851851852,0.6429629629629628,0.6318518518518518,0.777037037037037,0.791111111111111,0.78,0.7918518518518518,0.014074074074074017,0.0007407407407408195,0.014814814814814836
