dataset,category,strategy,eval_mode,num_images_total,num_images_used,num_normal,num_anomaly,covered_count,fallback_count,coverage_ratio,auroc,ap,best_f1,best_accuracy,best_threshold
VisA,pcb4,inspection_binary,crop_topk_ensemble,201,201,101,100,100,101,0.4975124378109453,0.7572277227722772,0.836551875442252,0.7411764705882353,0.7810945273631841,-0.0022683143615722656
VisA,pipe_fryum,inspection_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,0.9315999999999999,0.9728626002805721,0.92,0.8933333333333333,0.008196383714675903
VisA,MEAN,inspection_binary,crop_topk_ensemble,2162,2162,962,1200,1200,962,0.5550416281221091,0.8844370187018701,0.9178538352044331,0.8783189493629032,0.8651191956882255,
VisA,MEAN,inspection_binary,crop_or_full,2162,2162,962,1200,1200,962,0.5550416281221091,0.8672180418041804,0.9050029361395072,0.8700258314085976,0.8454482794361525,
VisA,MEAN,generic_binary,crop_topk_ensemble,2162,2162,962,1200,1200,962,0.5550416281221091,0.879199092409241,0.9144068774393763,0.8665031171145992,0.8553788349917081,
VisA,MEAN,generic_binary,crop_or_full,2162,2162,962,1200,1200,962,0.5550416281221091,0.8665439768976896,0.9049261459950443,0.8560338256552957,0.8110401119402985,
VisA,MEAN,category_binary,crop_topk_ensemble,2162,2162,962,1200,1200,962,0.5550416281221091,0.7888874312431242,0.844015590715106,0.8483062323514313,0.8042946724709785,
VisA,MEAN,category_binary,crop_or_full,2162,2162,962,1200,1200,962,0.5550416281221091,0.7734795654565456,0.8342625875397426,0.8395732074981748,0.7894890132669984,
VisA,MEAN,inspection_binary,full_all,2162,2162,962,1200,2162,0,1.0,0.5949971397139714,0.6796165066285377,0.7394776790909408,0.6215241500829187,
VisA,MEAN,generic_binary,full_all,2162,2162,962,1200,2162,0,1.0,0.5874399339933993,0.6538215920954912,0.732223105997289,0.6009680762852405,
VisA,MEAN,category_binary,full_all,2162,2162,962,1200,2162,0,1.0,0.5674309955995601,0.639491399873558,0.7265884568321566,0.5873481550580432,
