category,weight_id,tune_patchcore_f1,tune_rerank_f1,mean_w,max_w,gap_w,area_w,compact_w,aspect_w,semantic_w
screw,136,0.3853646333333333,0.4014367,0.36363636363636365,0.0,0.18181818181818182,0.0,0.36363636363636365,0.09090909090909091,0.0
screw,137,0.3853646333333333,0.4014367,0.3333333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333
screw,138,0.3853646333333333,0.4014367,0.3076923076923077,0.0,0.15384615384615385,0.0,0.3076923076923077,0.07692307692307693,0.15384615384615385
screw,139,0.3853646333333333,0.4014367,0.26666666666666666,0.0,0.13333333333333333,0.0,0.26666666666666666,0.06666666666666667,0.26666666666666666
screw,140,0.3853646333333333,0.4014367,0.33333333333333337,0.0,0.16666666666666669,0.0,0.33333333333333337,0.16666666666666669,0.0
screw,141,0.3853646333333333,0.4014367,0.3076923076923077,0.0,0.15384615384615385,0.0,0.3076923076923077,0.15384615384615385,0.07692307692307693
screw,142,0.3853646333333333,0.4014367,0.28571428571428575,0.0,0.14285714285714288,0.0,0.28571428571428575,0.14285714285714288,0.14285714285714288
screw,143,0.3853646333333333,0.4014367,0.25,0.0,0.125,0.0,0.25,0.125,0.25
screw,144,0.3853646333333333,0.4014367,0.5,0.0,0.25,0.25,0.0,0.0,0.0
screw,145,0.3853646333333333,0.4014367,0.4444444444444445,0.0,0.22222222222222224,0.22222222222222224,0.0,0.0,0.11111111111111112
screw,146,0.3853646333333333,0.4014367,0.4,0.0,0.2,0.2,0.0,0.0,0.2
screw,147,0.3853646333333333,0.4014367,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333
screw,148,0.3853646333333333,0.4014367,0.4444444444444445,0.0,0.22222222222222224,0.22222222222222224,0.0,0.11111111111111112,0.0
screw,149,0.3853646333333333,0.4014367,0.4,0.0,0.2,0.2,0.0,0.1,0.1
screw,150,0.3853646333333333,0.4014367,0.36363636363636365,0.0,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182
screw,151,0.3853646333333333,0.4014367,0.3076923076923077,0.0,0.15384615384615385,0.15384615384615385,0.0,0.07692307692307693,0.3076923076923077
screw,152,0.3853646333333333,0.4014367,0.4,0.0,0.2,0.2,0.0,0.2,0.0
