category,image_id,caliper,positive_count,matched_count,coverage,median_nearest_distance,reuse_fraction,response_pair_accuracy,MLP_pair_accuracy
pcb1,0c33699be9e9a16d7c17ce77,0.1,32,14,0.4375,1.6436543464660645,0.0,0.5714285969734192,1.0
pcb1,1912e7e3197ae3b58cf6d6d8,0.01,32,8,0.25,0.9722198247909546,0.0,0.25,0.5
pcb1,1912e7e3197ae3b58cf6d6d8,0.05,32,8,0.25,0.9722198247909546,0.0,0.25,0.5
pcb1,1912e7e3197ae3b58cf6d6d8,0.1,32,8,0.25,0.9722198247909546,0.0,0.25,0.5
pcb1,1a691e974afca341bb5607c6,0.01,32,23,0.71875,0.003787994384765625,0.04347826086956519,0.5652173757553101,1.0
pcb1,1a691e974afca341bb5607c6,0.05,32,24,0.75,0.003787994384765625,0.04166666666666663,0.5416666865348816,1.0
pcb1,1a691e974afca341bb5607c6,0.1,32,25,0.78125,0.003787994384765625,0.040000000000000036,0.5600000023841858,1.0
pcb1,1d3eb297e517f209f1d7d84c,0.01,32,32,1.0,5.0067901611328125e-06,0.0,0.4375,0.65625
pcb1,1d3eb297e517f209f1d7d84c,0.05,32,32,1.0,5.0067901611328125e-06,0.0,0.4375,0.65625
pcb1,1d3eb297e517f209f1d7d84c,0.1,32,32,1.0,5.0067901611328125e-06,0.0,0.4375,0.65625
pcb1,1d4ee84e7ce290fe11f558e6,0.01,32,26,0.8125,0.0015575885772705078,0.0,0.5192307829856873,0.38461539149284363
pcb1,1d4ee84e7ce290fe11f558e6,0.05,32,28,0.875,0.0015575885772705078,0.0,0.5178571343421936,0.4285714328289032
pcb1,1d4ee84e7ce290fe11f558e6,0.1,32,28,0.875,0.0015575885772705078,0.0,0.5178571343421936,0.4285714328289032
pcb1,1f3ea9d7cd96153a56bc5fd3,0.01,32,13,0.40625,0.039309144020080566,0.0,0.38461539149284363,0.1538461595773697
pcb1,1f3ea9d7cd96153a56bc5fd3,0.05,32,17,0.53125,0.039309144020080566,0.05882352941176472,0.29411765933036804,0.11764705926179886
pcb1,1f3ea9d7cd96153a56bc5fd3,0.1,32,18,0.5625,0.039309144020080566,0.05555555555555558,0.3333333432674408,0.1111111119389534
pcb1,23f9a42b155f330ad983066b,0.01,32,9,0.28125,4.69795036315918,0.0,0.4444444477558136,0.2222222238779068
pcb1,23f9a42b155f330ad983066b,0.05,32,10,0.3125,4.69795036315918,0.0,0.5,0.30000001192092896
pcb1,23f9a42b155f330ad983066b,0.1,32,10,0.3125,4.69795036315918,0.0,0.5,0.30000001192092896
pcb1,2c951b1265924f7382f5e6b3,0.01,32,32,1.0,7.152557373046875e-06,0.0,0.4375,0.625
pcb1,2c951b1265924f7382f5e6b3,0.05,32,32,1.0,7.152557373046875e-06,0.0,0.4375,0.625
pcb1,2c951b1265924f7382f5e6b3,0.1,32,32,1.0,7.152557373046875e-06,0.0,0.4375,0.625
pcb1,3072ce20cf90f5e99440e6bc,0.01,32,0,0.0,3.11173415184021,,,
pcb1,3072ce20cf90f5e99440e6bc,0.05,32,0,0.0,3.11173415184021,,,
pcb1,3072ce20cf90f5e99440e6bc,0.1,32,0,0.0,3.11173415184021,,,
pcb1,32cf4b2e165e3206846aaf60,0.01,32,32,1.0,0.0008365511894226074,0.03125,0.46875,0.78125
pcb1,32cf4b2e165e3206846aaf60,0.05,32,32,1.0,0.0008365511894226074,0.03125,0.46875,0.78125
pcb1,32cf4b2e165e3206846aaf60,0.1,32,32,1.0,0.0008365511894226074,0.03125,0.46875,0.78125
pcb1,3680c24978c1d42b2a37599c,0.01,32,29,0.90625,0.00034999847412109375,0.0,0.48275861144065857,0.6206896305084229
pcb1,3680c24978c1d42b2a37599c,0.05,32,30,0.9375,0.00034999847412109375,0.033333333333333326,0.5,0.6333333253860474
pcb1,3680c24978c1d42b2a37599c,0.1,32,30,0.9375,0.00034999847412109375,0.033333333333333326,0.5,0.6333333253860474
pcb1,374ea579413f7ebcbcf16d3c,0.01,32,0,0.0,10.838659286499023,,,
pcb1,374ea579413f7ebcbcf16d3c,0.05,32,0,0.0,10.838659286499023,,,
pcb1,374ea579413f7ebcbcf16d3c,0.1,32,0,0.0,10.838659286499023,,,
pcb1,39c5197be54ded8547348437,0.01,32,14,0.4375,0.4134256839752197,0.0,0.4285714328289032,0.7142857313156128
pcb1,39c5197be54ded8547348437,0.05,32,14,0.4375,0.4134256839752197,0.0,0.4285714328289032,0.7142857313156128
pcb1,39c5197be54ded8547348437,0.1,32,14,0.4375,0.4134256839752197,0.0,0.4285714328289032,0.7142857313156128
pcb1,3a8bf07b45d07dbde32c82d7,0.01,32,29,0.90625,0.003930568695068359,0.0,0.6551724076271057,1.0
pcb1,3a8bf07b45d07dbde32c82d7,0.05,32,31,0.96875,0.003930568695068359,0.0,0.6451612710952759,1.0
pcb1,3a8bf07b45d07dbde32c82d7,0.1,32,31,0.96875,0.003930568695068359,0.0,0.6451612710952759,1.0
pcb1,3dab225ec30eb8d5cbdec634,0.01,32,0,0.0,8.082353591918945,,,
pcb1,3dab225ec30eb8d5cbdec634,0.05,32,0,0.0,8.082353591918945,,,
pcb1,3dab225ec30eb8d5cbdec634,0.1,32,0,0.0,8.082353591918945,,,
pcb1,3ef2a58bb9f86d4d6fba6aa6,0.01,32,0,0.0,5.34578800201416,,,
pcb1,3ef2a58bb9f86d4d6fba6aa6,0.05,32,0,0.0,5.34578800201416,,,
pcb1,3ef2a58bb9f86d4d6fba6aa6,0.1,32,0,0.0,5.34578800201416,,,
pcb1,410c85cbd877dc37da9438a0,0.01,32,7,0.21875,1.006653070449829,0.0,0.5714285969734192,1.0
pcb1,410c85cbd877dc37da9438a0,0.05,32,7,0.21875,1.006653070449829,0.0,0.5714285969734192,1.0
pcb1,410c85cbd877dc37da9438a0,0.1,32,8,0.25,1.006653070449829,0.0,0.5,1.0
pcb1,422a9abdea5f8a6bac79fde4,0.01,32,8,0.25,3.3725149631500244,0.0,0.375,0.75
pcb1,422a9abdea5f8a6bac79fde4,0.05,32,9,0.28125,3.3725149631500244,0.0,0.3333333432674408,0.7777777910232544
pcb1,422a9abdea5f8a6bac79fde4,0.1,32,9,0.28125,3.3725149631500244,0.0,0.3333333432674408,0.7777777910232544
pcb1,43b1e7fcfe515f7fccfef929,0.01,32,3,0.09375,7.295293807983398,0.0,0.3333333432674408,1.0
pcb1,43b1e7fcfe515f7fccfef929,0.05,32,7,0.21875,7.295293807983398,0.0,0.5714285969734192,1.0
pcb1,43b1e7fcfe515f7fccfef929,0.1,32,7,0.21875,7.295293807983398,0.0,0.5714285969734192,1.0
pcb1,48ae52448a5b6943103b118e,0.01,32,14,0.4375,0.28043079376220703,0.0,0.4285714328289032,0.9285714030265808
pcb1,48ae52448a5b6943103b118e,0.05,32,14,0.4375,0.28043079376220703,0.0,0.4285714328289032,0.9285714030265808
pcb1,48ae52448a5b6943103b118e,0.1,32,14,0.4375,0.28043079376220703,0.0,0.4285714328289032,0.9285714030265808
pcb1,494233199c4bb5688f9e6a0c,0.01,32,9,0.28125,0.3325200080871582,0.0,0.3333333432674408,0.8888888955116272
pcb1,494233199c4bb5688f9e6a0c,0.05,32,13,0.40625,0.3325200080871582,0.0,0.38461539149284363,0.6153846383094788
pcb1,494233199c4bb5688f9e6a0c,0.1,32,14,0.4375,0.3325200080871582,0.0,0.4285714328289032,0.5714285969734192
