heldout_category,w_max,q_quantile,q_threshold_from_dev,tau_delta,dev_macro_auroc,dev_detector_macro_auroc,dev_delta_vs_detector,eligible_noninferior,dev_potential_call_rate,dev_active_weight_rate,valid_dev_groups,detector_dev_groups,dev_rank
macaroni2,0.35,0.25,0.2376558375792334,0.5,0.9348729972997298,0.9321012151215124,0.0027717821782173857,True,0.42048929663608564,0.3527013251783894,11,11,7.0
macaroni2,0.35,0.25,0.2376558375792334,0.75,0.9389254725472547,0.9321012151215124,0.0068242574257422195,True,0.42048929663608564,0.41182466870540263,11,11,1.0
macaroni2,0.35,0.5,0.35751856333087395,0.25,0.9323974647464748,0.9321012151215124,0.0002962496249623303,True,0.2803261977573904,0.127420998980632,11,11,21.0
macaroni2,0.35,0.5,0.35751856333087395,0.5,0.9342566156615661,0.9321012151215124,0.002155400540053698,True,0.2803261977573904,0.23598369011213047,11,11,10.0
macaroni2,0.35,0.5,0.35751856333087395,0.75,0.9372018751875187,0.9321012151215124,0.005100660066006291,True,0.2803261977573904,0.2747196738022426,11,11,2.0
macaroni2,0.35,0.75,0.4969863269468373,0.25,0.9322708220822084,0.9321012151215124,0.00016960696069590053,True,0.1401630988786952,0.05708460754332314,11,11,23.0
macaroni2,0.35,0.75,0.4969863269468373,0.5,0.9334692919291929,0.9321012151215124,0.001368076807680474,True,0.1401630988786952,0.11365953109072376,11,11,14.0
macaroni2,0.35,0.75,0.4969863269468373,0.75,0.9354430843084309,0.9321012151215124,0.003341869186918478,True,0.1401630988786952,0.13557594291539246,11,11,5.0
pcb1,0.15,0.25,0.24329970252391564,0.25,0.9112871287128713,0.911037578757876,0.0002495499549952651,True,0.42048929663608564,0.1962283384301733,11,11,25.0
pcb1,0.15,0.25,0.24329970252391564,0.5,0.9125260576057606,0.911037578757876,0.0014884788478845001,True,0.42048929663608564,0.34964322120285424,11,11,13.0
pcb1,0.15,0.25,0.24329970252391564,0.75,0.9141218571857185,0.911037578757876,0.003084278427842424,True,0.42048929663608564,0.4102956167176351,11,11,5.0
pcb1,0.15,0.5,0.377199334025218,0.25,0.9112373087308732,0.911037578757876,0.00019972997299710915,True,0.2803261977573904,0.12996941896024464,11,11,26.0
pcb1,0.15,0.5,0.377199334025218,0.5,0.9121346234623463,0.911037578757876,0.0010970447044702514,True,0.2803261977573904,0.23343527013251783,11,11,16.0
pcb1,0.15,0.5,0.377199334025218,0.75,0.9132202670267027,0.911037578757876,0.002182688268826616,True,0.2803261977573904,0.27370030581039756,11,11,9.0
pcb1,0.15,0.75,0.5171015081196173,0.25,0.9111740324032405,0.911037578757876,0.0001364536453644094,True,0.1401630988786952,0.060652395514780834,11,11,27.0
